,ala_exch,gly_exch,arg_exch,asn_exch,asp_exch,cys_exch,glu_exch,gln_exch,his_exch,ile_exch,leu_exch,lys_exch,met_exch,phe_exch,ser_exch,thr_exch,trp_exch,tyr_exch,val_exch,pro_exch,aerobic,fitness
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,anaerobic,0.0036341611144760848
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,anaerobic,0.007078810759792362
5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,anaerobic,0.004845548152634768
7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,anaerobic,0.0250353321219463
9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,anaerobic,0.006056935190793456
11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,anaerobic,0.01857460125176661
13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,anaerobic,0.006460730870179693
15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,anaerobic,0.018404907975460124
17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,anaerobic,0.004719207173194905
19,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,anaerobic,0.007672117908338385
21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,anaerobic,0.005191127890514395
23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,anaerobic,0.0040379567938623045
25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,anaerobic,0.008494572911750835
27,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,anaerobic,0.004719207173194911
29,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,anaerobic,0.001615182717544921
31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,anaerobic,0.010854176498348281
33,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,anaerobic,0.013213780084945736
35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,anaerobic,0.011326097215667772
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,anaerobic,0.013325257419745613
39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anaerobic,0.00755073147711185
41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,anaerobic,0.013685700802265223
43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,anaerobic,0.004719207173194905
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,anaerobic,0.014157621519584716
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,anaerobic,0.006134969325153377
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,anaerobic,0.006056935190793459
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,anaerobic,0.007268322228952149
53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,anaerobic,0.00943841434638981
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anaerobic,0.005191127890514402
57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,anaerobic,0.007078810759792355
59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,anaerobic,0.004845548152634772
61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,anaerobic,0.005249343832021
63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anaerobic,0.007078810759792355
65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anaerobic,0.004441752473248538
67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anaerobic,0.004037956793862301
69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anaerobic,0.007268322228952146
71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.13648293963254596
73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,anaerobic,0.026650514839491223
75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,anaerobic,0.018978396931152847
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,anaerobic,0.00646073087017969
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,anaerobic,0.07793256612154252
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,anaerobic,0.00849457291175083
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,anaerobic,0.0075507314771118455
85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.06662628709872805
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.0448213204118716
89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,anaerobic,0.004845548152634772
91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.2109485606418122
93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.00849457291175083
95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.0024227740763173833
97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.017461066540821153
99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.00943841434638981
101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.008022652194431337
103,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anaerobic,0.010094891984655772
105,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,anaerobic,0.003634161114476076
107,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,anaerobic,0.007268322228952152
109,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,anaerobic,0.007672117908338383
111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,anaerobic,0.006134969325153377
113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,anaerobic,0.005191127890514395
115,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.008883504946497079
117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.0047192071731949016
119,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,anaerobic,0.00646073087017969
121,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.00755073147711185
123,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.004719207173194905
125,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.013325257419745603
127,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.01415762151958471
129,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.007550731477111853
131,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,anaerobic,0.013685700802265227
133,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,anaerobic,0.05804624823029732
135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,anaerobic,0.267579046720151
137,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,anaerobic,0.04037956793862306
139,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,anaerobic,0.025439127801332537
141,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,anaerobic,1.0
143,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anaerobic,0.012741859367626245
145,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,anaerobic,0.013213780084945732
147,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,anaerobic,0.41671714112659003
149,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,anaerobic,0.2955784373107208
151,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anaerobic,0.0066068900424728644
153,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,anaerobic,0.0068645265495659155
155,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,anaerobic,0.0052493438320209964
157,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,anaerobic,0.008479709267110846
159,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,anaerobic,0.009691096305269533
161,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,anaerobic,0.009910335063709298
163,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,anaerobic,0.007078810759792358
165,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,anaerobic,0.021804966686856456
167,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,anaerobic,0.0066068900424728644
169,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,anaerobic,0.0040379567938623045
171,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,anaerobic,0.009910335063709303
173,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,anaerobic,0.004247286455875411
175,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,anaerobic,0.004441752473248541
177,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,anaerobic,0.009438414346389814
