,ala_exch,gly_exch,arg_exch,asn_exch,asp_exch,cys_exch,glu_exch,gln_exch,his_exch,ile_exch,leu_exch,lys_exch,met_exch,phe_exch,ser_exch,thr_exch,trp_exch,tyr_exch,val_exch,pro_exch,aerobic,fitness
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,aerobic,0.004319654427645787
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,aerobic,0.009780990856899851
4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,aerobic,0.0043196544276457895
6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,aerobic,0.015118790496760261
8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,aerobic,0.023326133909287262
10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,aerobic,0.11792656587473005
12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,aerobic,0.030237580993520523
14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,aerobic,0.005103125664469487
16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,aerobic,0.0038273442483521165
18,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,aerobic,0.0077753779697624205
20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,aerobic,0.01403359557729109
22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,aerobic,0.0043196544276457895
24,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,aerobic,0.010631511800978105
26,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,aerobic,0.005953646608547736
28,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,aerobic,0.001727861771058314
30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,aerobic,0.013183074633212846
