base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,leave_out_18,leave_out_19,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.038,Plate 1$32c30a4296ab63560a7797bae6332798946a2e2b,141,F21,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.795,Plate 1$32c30a4296ab63560a7797bae6332798946a2e2b,207,I15,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.752,Plate 2$aa6fbc6ac3e4e5c92eaed241630c299ca3f6e198,250,K10,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.04,Plate 2$aa6fbc6ac3e4e5c92eaed241630c299ca3f6e198,308,M20,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.777,Plate 3$b773450b84df885751e2fd471be7138bc65031f9,16,A16,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.041,Plate 3$b773450b84df885751e2fd471be7138bc65031f9,297,M9,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.813,Plate 4$f08d611bbf9b7cfcb467b2d4424059ac5726240f,89,D17,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.039,0.038,Plate 4$f08d611bbf9b7cfcb467b2d4424059ac5726240f,145,G1,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.044,0.783,Plate 1$32c30a4296ab63560a7797bae6332798946a2e2b,156,G12,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.039,Plate 1$32c30a4296ab63560a7797bae6332798946a2e2b,188,H20,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.041,Plate 2$aa6fbc6ac3e4e5c92eaed241630c299ca3f6e198,8,A8,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.044,0.94,Plate 2$aa6fbc6ac3e4e5c92eaed241630c299ca3f6e198,262,K22,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.038,Plate 3$b773450b84df885751e2fd471be7138bc65031f9,43,B19,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.663,Plate 3$b773450b84df885751e2fd471be7138bc65031f9,135,F15,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.04,Plate 4$f08d611bbf9b7cfcb467b2d4424059ac5726240f,246,K6,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.975,Plate 4$f08d611bbf9b7cfcb467b2d4424059ac5726240f,304,M16,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.041,Plate 1$32c30a4296ab63560a7797bae6332798946a2e2b,7,A7,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.902,Plate 1$32c30a4296ab63560a7797bae6332798946a2e2b,166,G22,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.045,0.801,Plate 2$aa6fbc6ac3e4e5c92eaed241630c299ca3f6e198,171,H3,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.039,Plate 2$aa6fbc6ac3e4e5c92eaed241630c299ca3f6e198,186,H18,3,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.779,Plate 3$b773450b84df885751e2fd471be7138bc65031f9,266,L2,3,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.04,Plate 3$b773450b84df885751e2fd471be7138bc65031f9,306,M18,3,False,True,S. mutans UA159,aerobic
