ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,grow
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,aerobic,1.0
1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,aerobic,0.0023122660207002786
1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,aerobic,1.0
1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,aerobic,0.860019175455417
1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,aerobic,0.003690944881889765
1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,aerobic,0.017828401634270158
1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,aerobic,0.00035876584549150454
1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,aerobic,0.0
1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,aerobic,0.15514693810540142
1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,aerobic,0.8316053694204955
1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,aerobic,0.8624752257212066
1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,aerobic,0.003942652329749108
1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,aerobic,0.7677419354838712
1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,aerobic,1.0
1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,aerobic,0.9541092519685042
1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,aerobic,1.0
1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,aerobic,1.0
1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,aerobic,1.0
1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,aerobic,1.0
1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,aerobic,0.9040960140938118
1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,aerobic,0.025119028074207864
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,aerobic,1.0
1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,aerobic,1.0
1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,aerobic,0.8647673999278759
1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,aerobic,1.0
1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,aerobic,1.0
1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,aerobic,0.009579387800044043
1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,aerobic,0.01306945481702763
1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,aerobic,0.0004925299622393667
1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,aerobic,0.013423551238677283
1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,aerobic,0.7983513779527561
1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,aerobic,1.0
1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,aerobic,0.19870176703930761
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aerobic,0.013261648745519715
1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,aerobic,0.2161693698155256
1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,aerobic,0.9955752212389379
1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,aerobic,0.8379387602688572
1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,aerobic,0.08793315984111763
1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,aerobic,0.031029387621080286
1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,aerobic,0.8598326359832633
1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,aerobic,0.7652329749103942
1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,aerobic,1.0
1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,aerobic,0.72304363505229
1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,aerobic,0.003321850393700791
1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,aerobic,0.15674136436795838
1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,aerobic,0.0
1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,aerobic,0.0029873039581777496
1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,aerobic,0.05614841569528813
1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,aerobic,0.00753028484120921
1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,aerobic,0.046491323802248165
1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,aerobic,0.012198038746711309
1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,aerobic,0.0
1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,aerobic,1.0
1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,aerobic,0.00965705088522966
1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,aerobic,1.0
1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,aerobic,0.03535959838480846
1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,aerobic,0.17238548678377935
1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,aerobic,1.0
1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,aerobic,0.014695340501792109
1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,aerobic,0.8049044356292826
1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,aerobic,0.25599232981783315
1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,aerobic,0.0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,aerobic,0.00779992571499319
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,aerobic,0.0029527559055118145
1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,aerobic,0.9930638603204974
1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,aerobic,0.3764875586007933
1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,aerobic,0.7378098834345758
1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,aerobic,0.9979079497907947
1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,aerobic,0.9100358422939068
1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,aerobic,0.03461954561846376
1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,aerobic,0.5169154910286262
1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,aerobic,0.009227362204724409
1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,aerobic,1.0
1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,aerobic,0.7688352068883042
1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,aerobic,0.8862817854414493
1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,aerobic,1.0
1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,aerobic,0.8481029995890974
1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,aerobic,0.9707897583844214
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,aerobic,1.0
1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,aerobic,0.7294554185310487
1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,aerobic,0.8373706232107465
1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,aerobic,1.0
1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,aerobic,1.0
