ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,grow
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,anaerobic,0.04042412193505634
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,anaerobic,0.021969501163091244
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,anaerobic,0.06361829025844933
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,anaerobic,0.029981907469630406
0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,anaerobic,0.8973509933774835
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,anaerobic,0.7993433053630061
0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,anaerobic,1.0
0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,anaerobic,0.08946322067594434
0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,anaerobic,1.0
0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,anaerobic,1.0
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,anaerobic,1.0
0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,anaerobic,0.4179750947482404
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,anaerobic,0.044301248489730174
1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,anaerobic,0.19720382634289918
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.14275202354672553
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,anaerobic,0.16629874908020606
1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,anaerobic,1.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,anaerobic,0.021919142717973697
1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,anaerobic,0.6707257671699951
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,anaerobic,0.012259774685222003
0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,anaerobic,0.7120555073720728
1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,anaerobic,0.6747614917606244
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,anaerobic,0.11665221162185603
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,anaerobic,0.8347318496898941
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,anaerobic,0.2365710080941869
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,anaerobic,0.12922810060711187
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,anaerobic,0.9873570138470803
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,anaerobic,0.025588007237012152
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,anaerobic,0.9327426500201368
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,anaerobic,0.8115489660554039
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.2883339836129536
0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,anaerobic,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,anaerobic,0.3968006242684355
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,anaerobic,0.017834065650038772
0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.01188937710002585
0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,anaerobic,1.0
0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,anaerobic,0.6880058866813832
0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,anaerobic,1.0
0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,anaerobic,1.0
0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,anaerobic,0.882803060813532
0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,anaerobic,0.18157720344599074
0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,anaerobic,0.8061408789885611
0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,anaerobic,1.0
0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,anaerobic,0.624457935819601
0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,anaerobic,0.23214982442450255
0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,anaerobic,0.9069527009563197
0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,anaerobic,0.8219278881530537
0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,anaerobic,0.795559973492379
0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,anaerobic,1.0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,anaerobic,0.04925209777453484
0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,anaerobic,0.7883983947464429
0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,anaerobic,0.7813129279097865
0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,anaerobic,0.4975918121613486
0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,anaerobic,0.6250487709715177
0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,anaerobic,1.0
0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,anaerobic,0.11346601188937712
0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,anaerobic,1.0
0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,anaerobic,1.0
0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,anaerobic,1.0
0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,anaerobic,0.04470398711236408
0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,anaerobic,0.3645394340758579
0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,anaerobic,0.3783290769792047
0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,anaerobic,0.6385776911836337
0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,anaerobic,0.13486556808326106
0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,anaerobic,0.08803122289679097
0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,anaerobic,0.8358749030757303
0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,anaerobic,0.1585724797645327
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,anaerobic,0.44869293796332427
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,anaerobic,0.6929439131558544
0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,anaerobic,0.1079791847354727
0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,anaerobic,0.94154895275207
0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,anaerobic,0.49367850692354004
0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,anaerobic,0.5330171470266325
0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,anaerobic,1.0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,anaerobic,0.21480759863614227
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,anaerobic,0.9489728296885355
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,anaerobic,0.0384407146724418
1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,anaerobic,1.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,anaerobic,0.2542310522442973
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,anaerobic,0.893671817512877
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,anaerobic,0.12294782925939439
1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,anaerobic,1.0
1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,anaerobic,0.9834388699464199
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,anaerobic,0.14320506575742817
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,anaerobic,0.3507608271556769
1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,anaerobic,0.722728931047063
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,anaerobic,1.0
1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,anaerobic,0.5066225165562913
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,anaerobic,0.013009540329575025
