ala_exch,gly_exch,arg_exch,asn_exch,asp_exch,cys_exch,glu_exch,gln_exch,his_exch,ile_exch,leu_exch,lys_exch,met_exch,phe_exch,ser_exch,thr_exch,trp_exch,tyr_exch,val_exch,pro_exch,grow
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.504895060458574
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1.0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1.0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1.0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0.7026040475517827
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0.3874779447147517
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.6278026507479657
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.6873368650143006
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1.0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0.39069583095939964
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.4821738262158271
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.4495584279559143
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.27292723285754633
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.0
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1.0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.6086282556941336
0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1.0
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1.0
0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0.8860156361909215
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1.0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.4217330413324129
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1.0
0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0.8481091843461182
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1.0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0.7694103060871867
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1.0
0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0.7135417620279012
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.4208979028303459
0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0.30494175832189724
0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.8359163045574196
