base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,leave_out_18,leave_out_19,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,,,0.043,0.911,Plate 1$7e066d31dcaa2a7363ad1b560d6c957b937d1ddd,86,D14,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.044,Plate 1$7e066d31dcaa2a7363ad1b560d6c957b937d1ddd,226,J10,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.043,Plate 10$8b2559714b17f6642621bc9030f86387de29dde3,129,F9,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.044,0.639,Plate 10$8b2559714b17f6642621bc9030f86387de29dde3,354,O18,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.044,0.067,Plate 11$fa084b1f661da645d01f4c169cf00ecab2d5b100,4,A4,1,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,1.342,Plate 11$fa084b1f661da645d01f4c169cf00ecab2d5b100,22,A22,1,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.077,Plate 12$8cd9f044578ee1b5ee7d54586455669ee5f6d18c,279,L15,1,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.795,Plate 12$8cd9f044578ee1b5ee7d54586455669ee5f6d18c,324,N12,1,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.861,Plate 13$015f993478fc7458d8b52f0e9179bf3bf7055713,220,J4,1,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.045,Plate 13$015f993478fc7458d8b52f0e9179bf3bf7055713,365,P5,1,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.087,Plate 14$b76a119e71c80cbd0bdb9cbcfe91d7ac3ee16a95,247,K7,1,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.045,1.182,Plate 14$b76a119e71c80cbd0bdb9cbcfe91d7ac3ee16a95,312,M24,1,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,1.403,Plate 15$5c830e9a1ca54f378eb22eed9f904ac5cd7db011,187,H19,1,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.101,Plate 15$5c830e9a1ca54f378eb22eed9f904ac5cd7db011,363,P3,1,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.054,Plate 16$391b6d59ed91603e586f2d94ed2087040e728d96,16,A16,1,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.888,Plate 16$391b6d59ed91603e586f2d94ed2087040e728d96,198,I6,1,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.675,Plate 17$76b2873afe5c3f3a5d270a31c6181b6aace56897,28,B4,1,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.042,Plate 17$76b2873afe5c3f3a5d270a31c6181b6aace56897,210,I18,1,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.944,Plate 18$7c460ce9bc530fdfe53e0b0b88d1d8ee8bfa7411,308,M20,1,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.045,Plate 18$7c460ce9bc530fdfe53e0b0b88d1d8ee8bfa7411,309,M21,1,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.883,Plate 19$20a781370a4edf07a385c9a3dcca67625137cce1,138,F18,1,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.04,Plate 19$20a781370a4edf07a385c9a3dcca67625137cce1,316,N4,1,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.638,Plate 2$e3db01324b01e84fd271846105aaf98a57af36b0,40,B16,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.04,0.041,Plate 2$e3db01324b01e84fd271846105aaf98a57af36b0,63,C15,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.315,Plate 20$31dff95f3bbef010dd0625498831610de18ccfd8,42,B18,1,False,True,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.091,1.052,Plate 20$31dff95f3bbef010dd0625498831610de18ccfd8,160,G16,1,True,False,S. mutans UA159,anaerobic
CDM,,,,,,,,,,,,,,,,,,,,0.042,0.041,Plate 3$5973cc64507958195f09a634be48645e2805ef38,298,M10,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,,,0.041,0.617,Plate 3$5973cc64507958195f09a634be48645e2805ef38,349,O13,1,True,False,S. mutans UA159,aerobic
