base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,0.044,0.048,Plate 1$19bcc3d48a381f86cbd2fa9b117c6c85dd83e029,187,H19,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,1.013,Plate 1$19bcc3d48a381f86cbd2fa9b117c6c85dd83e029,226,J10,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.563,Plate 10$08cf75fc78aabbfa578808d610fa41baaae4fe0c,49,C1,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.267,Plate 10$08cf75fc78aabbfa578808d610fa41baaae4fe0c,328,N16,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,0.979,Plate 2$fd36bc8a0251f95d85b27f758955f33b83ae96fe,147,G3,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.043,Plate 2$fd36bc8a0251f95d85b27f758955f33b83ae96fe,333,N21,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.117,Plate 3$bd7007fc68d864a47da5fa430d0a1f23da490d3c,92,D20,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.067,Plate 3$bd7007fc68d864a47da5fa430d0a1f23da490d3c,172,H4,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.888,Plate 4$f4a6783b2720ad0d7d4d0094cbfa18d33bc9a516,26,B2,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.047,0.041,Plate 4$f4a6783b2720ad0d7d4d0094cbfa18d33bc9a516,297,M9,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.003,Plate 5$11547cf7ef8ebc25fa905011840fa1038d825cdd,78,D6,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.043,Plate 5$11547cf7ef8ebc25fa905011840fa1038d825cdd,238,J22,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.049,Plate 6$023865dddb326d5242cb8f1866435344c3e6adc3,287,L23,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.985,Plate 6$023865dddb326d5242cb8f1866435344c3e6adc3,297,M9,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,0.046,Plate 7$14dc2c6be12a37b9d3e8528d4562a4d618cbd59c,332,N20,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.992,Plate 7$14dc2c6be12a37b9d3e8528d4562a4d618cbd59c,349,O13,1,True,False,S. mutans UA159,aerobic
