base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,0.077,0.074,Plate 1$fe8856866a7678773483ad49870edc160e621acc,141,F21,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,1.099,Plate 1$fe8856866a7678773483ad49870edc160e621acc,282,L18,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.048,0.054,Plate 10$98b578b04ad8d9178bea470b969d1982b735ba9e,173,H5,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.045,0.941,Plate 10$98b578b04ad8d9178bea470b969d1982b735ba9e,263,K23,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.053,Plate 2$1b6d961a435bf5b18a203a3e5772745425ff81b2,38,B14,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.18,Plate 2$1b6d961a435bf5b18a203a3e5772745425ff81b2,42,B18,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,1.209,Plate 3$0d7d1e977666c03003ce0758740f39f18c13a6c3,55,C7,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.089,0.095,Plate 3$0d7d1e977666c03003ce0758740f39f18c13a6c3,113,E17,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.054,Plate 4$838746e2c2f5a45cbf11d51681faab0cb265a638,43,B19,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.199,Plate 4$838746e2c2f5a45cbf11d51681faab0cb265a638,239,J23,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.762,Plate 5$64f91ce9f21fb1370b9c1b58e2dfd2b161e84359,246,K6,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.047,Plate 5$64f91ce9f21fb1370b9c1b58e2dfd2b161e84359,356,O20,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.061,Plate 6$87ca7a198e746db0d4846c3ccd9fdadca93ab644,82,D10,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.048,0.897,Plate 6$87ca7a198e746db0d4846c3ccd9fdadca93ab644,341,O5,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.044,1.002,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,6,A6,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.051,0.047,Plate 7$855d63aff2901c354d8d940f1bab5f7359793846,335,N23,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.901,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,73,D1,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.051,Plate 8$aeec1dfba67cd7424bb2a014f1a21f410387cdee,199,I7,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.949,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,291,M3,1,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.056,Plate 9$01b0bd5918babfd3f9d6098d9bd454a1eea3b6e5,344,O8,1,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,1.095,Plate 1$fe8856866a7678773483ad49870edc160e621acc,221,J5,2,True,False,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.072,0.05,Plate 1$fe8856866a7678773483ad49870edc160e621acc,239,J23,2,False,True,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.058,0.135,Plate 10$98b578b04ad8d9178bea470b969d1982b735ba9e,159,G15,2,False,True,S. mutans UA159,aerobic
