base_solution,leave_out_1,leave_out_2,leave_out_3,leave_out_4,leave_out_5,leave_out_6,leave_out_7,leave_out_8,leave_out_9,leave_out_10,leave_out_11,leave_out_12,leave_out_13,leave_out_14,leave_out_15,leave_out_16,leave_out_17,initial_od,final_od,parent_plate,parent_well_index,parent_well,replicate,plate_control,plate_blank,strain,environment
CDM,,,,,,,,,,,,,,,,,,0.041,0.625,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,78,D6,1,TRUE,FALSE,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.04,0.042,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,183,H15,1,FALSE,TRUE,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.042,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,44,B20,2,FALSE,TRUE,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.672,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,306,M18,2,TRUE,FALSE,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,0.048,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,1,A1,3,FALSE,TRUE,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.647,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,61,C13,3,TRUE,FALSE,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.045,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,122,F2,4,FALSE,TRUE,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.887,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,357,O21,4,TRUE,FALSE,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.046,0.618,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,111,E15,5,TRUE,FALSE,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.043,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,212,I20,5,FALSE,TRUE,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.685,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,237,J21,6,TRUE,FALSE,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.054,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,336,N24,6,FALSE,TRUE,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.042,0.644,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,125,F5,7,TRUE,FALSE,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.043,0.585,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,45,B21,8,TRUE,FALSE,S. mutans UA159,aerobic
CDM,,,,,,,,,,,,,,,,,,0.041,0.426,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,226,J10,9,TRUE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_glutamic_acid_75x,l_glutamine_75x,l_histidine_75x,l_leucine_75x,l_lysine_75x,l_methionine_75x,l_phenylalanine_75x,l_serine_75x,l_threonine_75x,l_tryptophan_75x,prolines_75x,0.041,0.045,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,151,G7,1,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_glutamic_acid_75x,l_glutamine_75x,l_histidine_75x,l_leucine_75x,l_lysine_75x,l_methionine_75x,l_phenylalanine_75x,l_serine_75x,l_threonine_75x,l_tryptophan_75x,prolines_75x,0.041,0.044,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,77,D5,2,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_glutamic_acid_75x,l_glutamine_75x,l_histidine_75x,l_leucine_75x,l_lysine_75x,l_methionine_75x,l_phenylalanine_75x,l_serine_75x,l_threonine_75x,l_tryptophan_75x,prolines_75x,0.042,0.045,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,193,I1,3,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_glutamic_acid_75x,l_glutamine_75x,l_histidine_75x,l_lysine_75x,l_methionine_75x,l_serine_75x,l_tryptophan_75x,l_tyrosine_75x,prolines_75x,,,0.042,0.044,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,46,B22,1,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_glutamic_acid_75x,l_glutamine_75x,l_histidine_75x,l_lysine_75x,l_methionine_75x,l_serine_75x,l_tryptophan_75x,l_tyrosine_75x,prolines_75x,,,0.04,0.043,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,367,P7,2,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_glutamic_acid_75x,l_glutamine_75x,l_histidine_75x,l_lysine_75x,l_methionine_75x,l_serine_75x,l_tryptophan_75x,l_tyrosine_75x,prolines_75x,,,0.041,0.045,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,249,K9,3,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_glutamic_acid_75x,l_histidine_75x,l_isoleucine_75x,l_leucine_75x,l_lysine_75x,l_methionine_75x,l_serine_75x,l_threonine_75x,l_tryptophan_75x,l_valine_75x,prolines_75x,0.042,0.047,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,305,M17,1,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_glutamic_acid_75x,l_histidine_75x,l_isoleucine_75x,l_leucine_75x,l_lysine_75x,l_methionine_75x,l_serine_75x,l_threonine_75x,l_tryptophan_75x,l_valine_75x,prolines_75x,0.041,0.046,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,296,M8,2,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_glutamic_acid_75x,l_histidine_75x,l_isoleucine_75x,l_leucine_75x,l_lysine_75x,l_methionine_75x,l_serine_75x,l_threonine_75x,l_tryptophan_75x,l_valine_75x,prolines_75x,0.042,0.047,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,254,K14,3,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_glutamic_acid_75x,l_isoleucine_75x,l_leucine_75x,l_methionine_75x,l_phenylalanine_75x,l_threonine_75x,l_tryptophan_75x,l_valine_75x,prolines_75x,,,0.044,0.049,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,145,G1,1,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_glutamic_acid_75x,l_isoleucine_75x,l_leucine_75x,l_methionine_75x,l_phenylalanine_75x,l_threonine_75x,l_tryptophan_75x,l_valine_75x,prolines_75x,,,0.042,0.046,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,221,J5,2,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_glutamic_acid_75x,l_isoleucine_75x,l_leucine_75x,l_methionine_75x,l_phenylalanine_75x,l_threonine_75x,l_tryptophan_75x,l_valine_75x,prolines_75x,,,0.044,0.059,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,51,C3,3,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_isoleucine_75x,l_leucine_75x,l_lysine_75x,l_methionine_75x,l_phenylalanine_75x,l_serine_75x,l_threonine_75x,l_tryptophan_75x,l_tyrosine_75x,,,0.041,0.057,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,362,P2,1,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_isoleucine_75x,l_leucine_75x,l_lysine_75x,l_methionine_75x,l_phenylalanine_75x,l_serine_75x,l_threonine_75x,l_tryptophan_75x,l_tyrosine_75x,,,0.044,0.048,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,321,N9,2,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_cysteine_75x,l_isoleucine_75x,l_leucine_75x,l_lysine_75x,l_methionine_75x,l_phenylalanine_75x,l_serine_75x,l_threonine_75x,l_tryptophan_75x,l_tyrosine_75x,,,0.048,0.049,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,22,A22,3,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_glutamic_acid_75x,l_glutamine_75x,l_serine_75x,l_tryptophan_75x,,,,,,,,,0.045,0.768,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,228,J12,1,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_glutamic_acid_75x,l_glutamine_75x,l_serine_75x,l_tryptophan_75x,,,,,,,,,0.04,0.586,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,365,P5,2,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_glutamic_acid_75x,l_glutamine_75x,l_serine_75x,l_tryptophan_75x,,,,,,,,,0.042,0.518,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,185,H17,3,FALSE,FALSE,S. mutans UA159,aerobic
CDM,dl_alanine_75x,glycine_75x,l_arginine_75x,l_asparagine_75x,l_aspartic_acid_40x,l_glutamine_75x,l_methionine_75x,l_phenylalanine_75x,l_tryptophan_75x,l_tyrosine_75x,l_valine_75x,prolines_75x,,,,,,0.043,1.198,Plate 10$5d164132af887589bfae6a288ac20b837dba1823,181,H13,1,FALSE,FALSE,S. mutans UA159,aerobic
