ala_exch,gly_exch,arg_exch,asn_exch,asp_exch,cys_exch,glu_exch,gln_exch,his_exch,ile_exch,leu_exch,lys_exch,met_exch,phe_exch,ser_exch,thr_exch,trp_exch,tyr_exch,val_exch,pro_exch,grow
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061405030355594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08097615085967799
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.061405030355594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.06988352745424299
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.061405030355594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.08097615085967799
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.061405030355594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.061405030355594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.08097615085967799
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.061405030355594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.061405030355594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.061405030355594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.08097615085967799
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.061405030355594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.061405030355594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.061405030355594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.061405030355594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.08097615085967799
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.061405030355594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.061405030355594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.061405030355594
