ala_exch,gly_exch,arg_exch,asn_exch,asp_exch,cys_exch,glu_exch,gln_exch,his_exch,ile_exch,leu_exch,lys_exch,met_exch,phe_exch,ser_exch,thr_exch,trp_exch,tyr_exch,val_exch,pro_exch,grow
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.945043103448276
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.945043103448276
0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.945043103448276
0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.945043103448276
0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.945043103448276
0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.276939655172414
0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.945043103448276
0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.945043103448276
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.786093105480259
0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.945043103448276
0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.945043103448276
0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.945043103448276
0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.945043103448276
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.945043103448276
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.945043103448276
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.945043103448276
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.945043103448276
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.945043103448276
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.945043103448276
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.945043103448276
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.276939655172414
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.281466798810704
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.281466798810704
1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.281466798810704
1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.281466798810704
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.281466798810704
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.281466798810704
