Reactions,Experiment,Objective Value,Growth
['pnto_CDM_exch'],L1O,0.0,False
['pydx_pydam_CDM_exch'],L1O,0.0,False
['ribflv_CDM_exch'],L1O,0.0,False
['thm_CDM_exch'],L1O,0.0,False
['MgSO4_CDM_exch'],L1O,0.0,False
"['ac_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['ac_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['ac_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['ac_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['ac_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['ala_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['ala_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['ala_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['ala_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['ala_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['arg_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['arg_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['arg_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['arg_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['arg_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['asp_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['asp_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['asp_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['asp_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['asp_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['asn_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['asn_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['asn_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['asn_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['asn_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['cys_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['cys_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['cys_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['cys_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['cys_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['glu_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['glu_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['glu_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
"['glu_CDM_exch', 'thm_CDM_exch']",L2O,0.0,False
"['glu_CDM_exch', 'MgSO4_CDM_exch']",L2O,0.0,False
"['gln_CDM_exch', 'pnto_CDM_exch']",L2O,0.0,False
"['gln_CDM_exch', 'pydx_pydam_CDM_exch']",L2O,0.0,False
"['gln_CDM_exch', 'ribflv_CDM_exch']",L2O,0.0,False
