,# Epochs,Loss,Grow Accuracy,No Grow Accuracy
0,5,custom,0.0,0.3509933774834437
1,5,binary CE,0.0,0.3509933774834437
2,5,custom - te/tr split,0.0,0.3509933774834437
3,5,binary CE - te/tr split,0.0,0.3509933774834437
0,10,custom,0.0,0.3509933774834437
1,10,binary CE,0.0,0.3509933774834437
2,10,custom - te/tr split,0.0,0.3509933774834437
3,10,binary CE - te/tr split,0.0,0.3509933774834437
0,20,custom,0.0,0.3509933774834437
1,20,binary CE,0.0,0.3509933774834437
2,20,custom - te/tr split,0.0,0.3509933774834437
3,20,binary CE - te/tr split,0.0,0.3509933774834437
0,100,custom,0.0,0.3509933774834437
1,100,binary CE,0.0,0.3509933774834437
2,100,custom - te/tr split,0.0,0.3509933774834437
3,100,binary CE - te/tr split,0.0,0.3509933774834437
0,1000,custom,0.2857142857142857,0.33774834437086093
1,1000,binary CE,0.0,0.3509933774834437
2,1000,custom - te/tr split,0.14285714285714285,0.3443708609271523
3,1000,binary CE - te/tr split,0.42857142857142855,0.33112582781456956
