,# Epochs,Loss,Grow Accuracy,No Grow Accuracy
0,5,custom,0.2909090909090909,0.358695652173913
1,5,binary CE,0.296969696969697,0.35507246376811596
2,5,custom - te/tr split,0.15151515151515152,0.4420289855072464
3,5,binary CE - te/tr split,0.22424242424242424,0.39855072463768115
0,10,custom,0.296969696969697,0.35507246376811596
1,10,binary CE,0.2545454545454545,0.3804347826086957
2,10,custom - te/tr split,0.2727272727272727,0.3695652173913043
3,10,binary CE - te/tr split,0.24848484848484848,0.38405797101449274
0,20,custom,0.3151515151515151,0.3442028985507246
1,20,binary CE,0.30303030303030304,0.35144927536231885
2,20,custom - te/tr split,0.3090909090909091,0.34782608695652173
3,20,binary CE - te/tr split,0.32727272727272727,0.33695652173913043
0,100,custom,0.32727272727272727,0.33695652173913043
1,100,binary CE,0.3333333333333333,0.3333333333333333
2,100,custom - te/tr split,0.32727272727272727,0.33695652173913043
3,100,binary CE - te/tr split,0.30303030303030304,0.35144927536231885
0,1000,custom,0.37575757575757573,0.3079710144927536
1,1000,binary CE,0.32727272727272727,0.33695652173913043
2,1000,custom - te/tr split,0.4303030303030303,0.2753623188405797
3,1000,binary CE - te/tr split,0.41818181818181815,0.2826086956521739
