,# Epochs,Loss,Grow Accuracy,No Grow Accuracy
0,5,custom,0.4380165289256198,0.0
1,5,binary CE,0.4380165289256198,0.0
2,5,custom - te/tr split,0.4380165289256198,0.0
3,5,binary CE - te/tr split,0.4380165289256198,0.0
0,10,custom,0.4380165289256198,0.0
1,10,binary CE,0.4380165289256198,0.0
2,10,custom - te/tr split,0.4380165289256198,0.0
3,10,binary CE - te/tr split,0.4380165289256198,0.0
0,20,custom,0.4297520661157025,0.027777777777777776
1,20,binary CE,0.4132231404958678,0.08333333333333333
2,20,custom - te/tr split,0.4380165289256198,0.0
3,20,binary CE - te/tr split,0.4380165289256198,0.0
0,100,custom,0.30578512396694213,0.4444444444444444
1,100,binary CE,0.2975206611570248,0.4722222222222222
2,100,custom - te/tr split,0.2975206611570248,0.4722222222222222
3,100,binary CE - te/tr split,0.30578512396694213,0.4444444444444444
0,1000,custom,0.3140495867768595,0.4166666666666667
1,1000,binary CE,0.2975206611570248,0.4722222222222222
2,1000,custom - te/tr split,0.2892561983471074,0.5
3,1000,binary CE - te/tr split,0.32231404958677684,0.3888888888888889
