Card,# Epochs,Loss,Grow,No Grow
1,5,binary CE,0.0,1.0
1,5,binary CE - te/tr split,0.0,1.0
1,5,custom,0.0,1.0
1,5,custom - te/tr split,0.0,1.0
1,10,binary CE,0.0,1.0
1,10,binary CE - te/tr split,0.0,1.0
1,10,custom,0.0,1.0
1,10,custom - te/tr split,0.0,1.0
1,20,binary CE,0.0,1.0
1,20,binary CE - te/tr split,0.0,1.0
1,20,custom,0.0,1.0
1,20,custom - te/tr split,0.0,1.0
1,100,binary CE,0.0,1.0
1,100,binary CE - te/tr split,0.0,1.0
1,100,custom,0.0,1.0
1,100,custom - te/tr split,0.0,1.0
1,1000,binary CE,0.0,1.0
1,1000,binary CE - te/tr split,0.05,0.95
1,1000,custom,0.0,1.0
1,1000,custom - te/tr split,0.0,1.0
2,5,binary CE,0.0,1.0
2,5,binary CE - te/tr split,0.0,1.0
2,5,custom,0.0,1.0
2,5,custom - te/tr split,0.0,1.0
2,10,binary CE,0.0,1.0
2,10,binary CE - te/tr split,0.0,1.0
2,10,custom,0.0,1.0
2,10,custom - te/tr split,0.0,1.0
2,20,binary CE,0.0,1.0
2,20,binary CE - te/tr split,0.0,1.0
2,20,custom,0.0,1.0
2,20,custom - te/tr split,0.0,1.0
2,100,binary CE,0.021,0.979
2,100,binary CE - te/tr split,0.005,0.995
2,100,custom,0.021,0.979
2,100,custom - te/tr split,0.0,1.0
2,1000,binary CE,0.026,0.974
2,1000,binary CE - te/tr split,0.037,0.963
2,1000,custom,0.037,0.963
2,1000,custom - te/tr split,0.037,0.963
3,5,binary CE,0.0,1.0
3,5,binary CE - te/tr split,0.004,0.996
3,5,custom,0.0,1.0
3,5,custom - te/tr split,0.0,1.0
3,10,binary CE,0.0,1.0
3,10,binary CE - te/tr split,0.0,1.0
3,10,custom,0.0,1.0
3,10,custom - te/tr split,0.0,1.0
3,20,binary CE,0.0,1.0
3,20,binary CE - te/tr split,0.0,1.0
3,20,custom,0.0,1.0
3,20,custom - te/tr split,0.0,1.0
3,100,binary CE,0.008,0.992
3,100,binary CE - te/tr split,0.003,0.997
3,100,custom,0.005,0.995
3,100,custom - te/tr split,0.0,1.0
3,1000,binary CE,0.046,0.954
3,1000,binary CE - te/tr split,0.026,0.974
3,1000,custom,0.054,0.946
3,1000,custom - te/tr split,0.022,0.978
4,5,binary CE,0.0,1.0
4,5,binary CE - te/tr split,0.002,0.998
4,5,custom,0.0,1.0
4,5,custom - te/tr split,0.0,1.0
4,10,binary CE,0.0,1.0
4,10,binary CE - te/tr split,0.0,1.0
4,10,custom,0.0,1.0
4,10,custom - te/tr split,0.0,1.0
4,20,binary CE,0.0,1.0
4,20,binary CE - te/tr split,0.0,1.0
4,20,custom,0.0,1.0
4,20,custom - te/tr split,0.0,1.0
4,100,binary CE,0.005,0.995
4,100,binary CE - te/tr split,0.002,0.998
4,100,custom,0.004,0.996
4,100,custom - te/tr split,0.0,1.0
4,1000,binary CE,0.064,0.936
4,1000,binary CE - te/tr split,0.018,0.982
4,1000,custom,0.051,0.949
4,1000,custom - te/tr split,0.017,0.983
5,5,binary CE,0.0,1.0
5,5,binary CE - te/tr split,0.002,0.998
5,5,custom,0.0,1.0
5,5,custom - te/tr split,0.0,1.0
5,10,binary CE,0.0,1.0
5,10,binary CE - te/tr split,0.0,1.0
5,10,custom,0.0,1.0
5,10,custom - te/tr split,0.0,1.0
5,20,binary CE,0.0,1.0
5,20,binary CE - te/tr split,0.0,1.0
5,20,custom,0.0,1.0
5,20,custom - te/tr split,0.0,1.0
5,100,binary CE,0.002,0.998
5,100,binary CE - te/tr split,0.001,0.999
5,100,custom,0.002,0.998
5,100,custom - te/tr split,0.0,1.0
5,1000,binary CE,0.076,0.924
5,1000,binary CE - te/tr split,0.017,0.983
5,1000,custom,0.055,0.945
5,1000,custom - te/tr split,0.013,0.987
6,5,binary CE,0.0,1.0
6,5,binary CE - te/tr split,0.001,0.999
6,5,custom,0.0,1.0
6,5,custom - te/tr split,0.0,1.0
6,10,binary CE,0.0,1.0
6,10,binary CE - te/tr split,0.0,1.0
6,10,custom,0.0,1.0
6,10,custom - te/tr split,0.0,1.0
6,20,binary CE,0.0,1.0
6,20,binary CE - te/tr split,0.0,1.0
6,20,custom,0.0,1.0
6,20,custom - te/tr split,0.0,1.0
6,100,binary CE,0.001,0.999
6,100,binary CE - te/tr split,0.0,1.0
6,100,custom,0.0,1.0
6,100,custom - te/tr split,0.0,1.0
6,1000,binary CE,0.086,0.914
6,1000,binary CE - te/tr split,0.013,0.987
6,1000,custom,0.058,0.942
6,1000,custom - te/tr split,0.01,0.99
7,5,binary CE,0.0,1.0
7,5,binary CE - te/tr split,0.001,0.999
7,5,custom,0.0,1.0
7,5,custom - te/tr split,0.0,1.0
7,10,binary CE,0.0,1.0
7,10,binary CE - te/tr split,0.0,1.0
7,10,custom,0.0,1.0
7,10,custom - te/tr split,0.0,1.0
7,20,binary CE,0.0,1.0
7,20,binary CE - te/tr split,0.0,1.0
7,20,custom,0.0,1.0
7,20,custom - te/tr split,0.0,1.0
7,100,binary CE,0.0,1.0
7,100,binary CE - te/tr split,0.0,1.0
7,100,custom,0.0,1.0
7,100,custom - te/tr split,0.0,1.0
7,1000,binary CE,0.093,0.907
