Card,# Epochs,Loss,Grow,No Grow
1,5,binary CE,0.0,1.0
1,5,binary CE - te/tr split,0.0,1.0
1,5,custom,0.0,1.0
1,5,custom - te/tr split,0.0,1.0
1,10,binary CE,0.0,1.0
1,10,binary CE - te/tr split,0.0,1.0
1,10,custom,0.0,1.0
1,10,custom - te/tr split,0.0,1.0
1,20,binary CE,0.0,1.0
1,20,binary CE - te/tr split,0.0,1.0
1,20,custom,0.0,1.0
1,20,custom - te/tr split,0.0,1.0
1,100,binary CE,0.0,1.0
1,100,binary CE - te/tr split,0.0,1.0
1,100,custom,0.0,1.0
1,100,custom - te/tr split,0.0,1.0
1,1000,binary CE,0.0,1.0
1,1000,binary CE - te/tr split,0.1,0.9
1,1000,custom,0.0,1.0
1,1000,custom - te/tr split,0.05,0.95
2,5,binary CE,0.0,1.0
2,5,binary CE - te/tr split,0.0,1.0
2,5,custom,0.0,1.0
2,5,custom - te/tr split,0.0,1.0
2,10,binary CE,0.0,1.0
2,10,binary CE - te/tr split,0.0,1.0
2,10,custom,0.0,1.0
2,10,custom - te/tr split,0.0,1.0
2,20,binary CE,0.011,0.989
2,20,binary CE - te/tr split,0.0,1.0
2,20,custom,0.016,0.984
2,20,custom - te/tr split,0.016,0.984
2,100,binary CE,0.026,0.974
2,100,binary CE - te/tr split,0.0,1.0
2,100,custom,0.026,0.974
2,100,custom - te/tr split,0.011,0.989
2,1000,binary CE,0.032,0.968
2,1000,binary CE - te/tr split,0.158,0.842
2,1000,custom,0.042,0.958
2,1000,custom - te/tr split,0.089,0.911
3,5,binary CE,0.002,0.998
3,5,binary CE - te/tr split,0.0,1.0
3,5,custom,0.0,1.0
3,5,custom - te/tr split,0.0,1.0
3,10,binary CE,0.0,1.0
3,10,binary CE - te/tr split,0.001,0.999
3,10,custom,0.001,0.999
3,10,custom - te/tr split,0.001,0.999
3,20,binary CE,0.022,0.978
3,20,binary CE - te/tr split,0.025,0.975
3,20,custom,0.026,0.974
3,20,custom - te/tr split,0.022,0.978
3,100,binary CE,0.054,0.946
3,100,binary CE - te/tr split,0.016,0.984
3,100,custom,0.05,0.95
3,100,custom - te/tr split,0.029,0.971
3,1000,binary CE,0.078,0.922
3,1000,binary CE - te/tr split,0.223,0.777
3,1000,custom,0.076,0.924
3,1000,custom - te/tr split,0.121,0.879
4,5,binary CE,0.005,0.995
4,5,binary CE - te/tr split,0.0,1.0
4,5,custom,0.001,0.999
4,5,custom - te/tr split,0.002,0.998
4,10,binary CE,0.001,0.999
4,10,binary CE - te/tr split,0.006,0.994
4,10,custom,0.005,0.995
4,10,custom - te/tr split,0.001,0.999
4,20,binary CE,0.038,0.962
4,20,binary CE - te/tr split,0.047,0.953
4,20,custom,0.036,0.964
4,20,custom - te/tr split,0.046,0.954
4,100,binary CE,0.082,0.918
4,100,binary CE - te/tr split,0.034,0.966
4,100,custom,0.083,0.917
4,100,custom - te/tr split,0.059,0.941
4,1000,binary CE,0.134,0.866
4,1000,binary CE - te/tr split,0.272,0.728
4,1000,custom,0.108,0.892
4,1000,custom - te/tr split,0.163,0.837
5,5,binary CE,0.013,0.987
5,5,binary CE - te/tr split,0.0,1.0
5,5,custom,0.003,0.997
5,5,custom - te/tr split,0.006,0.994
5,10,binary CE,0.004,0.996
5,10,binary CE - te/tr split,0.014,0.986
5,10,custom,0.012,0.988
5,10,custom - te/tr split,0.004,0.996
5,20,binary CE,0.055,0.945
5,20,binary CE - te/tr split,0.075,0.925
5,20,custom,0.057,0.943
5,20,custom - te/tr split,0.073,0.927
5,100,binary CE,0.114,0.886
5,100,binary CE - te/tr split,0.056,0.944
5,100,custom,0.121,0.879
5,100,custom - te/tr split,0.091,0.909
5,1000,binary CE,0.187,0.813
5,1000,binary CE - te/tr split,0.316,0.684
5,1000,custom,0.155,0.845
5,1000,custom - te/tr split,0.203,0.797
6,5,binary CE,0.024,0.976
6,5,binary CE - te/tr split,0.001,0.999
6,5,custom,0.008,0.992
6,5,custom - te/tr split,0.011,0.989
6,10,binary CE,0.01,0.99
6,10,binary CE - te/tr split,0.029,0.971
6,10,custom,0.026,0.974
6,10,custom - te/tr split,0.009,0.991
6,20,binary CE,0.078,0.922
6,20,binary CE - te/tr split,0.109,0.891
6,20,custom,0.084,0.916
6,20,custom - te/tr split,0.105,0.895
6,100,binary CE,0.152,0.848
6,100,binary CE - te/tr split,0.084,0.916
6,100,custom,0.161,0.839
6,100,custom - te/tr split,0.129,0.871
6,1000,binary CE,0.234,0.766
6,1000,binary CE - te/tr split,0.361,0.639
6,1000,custom,0.199,0.801
6,1000,custom - te/tr split,0.242,0.758
7,5,binary CE,0.042,0.958
7,5,binary CE - te/tr split,0.003,0.997
7,5,custom,0.016,0.984
7,5,custom - te/tr split,0.019,0.981
7,10,binary CE,0.019,0.981
7,10,binary CE - te/tr split,0.049,0.951
7,10,custom,0.047,0.953
7,10,custom - te/tr split,0.017,0.983
7,20,binary CE,0.105,0.895
7,20,binary CE - te/tr split,0.148,0.852
7,20,custom,0.116,0.884
7,20,custom - te/tr split,0.143,0.857
7,100,binary CE,0.195,0.805
7,100,binary CE - te/tr split,0.116,0.884
7,100,custom,0.204,0.796
7,100,custom - te/tr split,0.173,0.827
7,1000,binary CE,0.28,0.72
