Card,# Epochs,Loss,Grow,No Grow
1,5,binary CE,0.95,0.05
1,5,binary CE - te/tr split,0.75,0.25
1,5,custom,0.9,0.1
1,5,custom - te/tr split,1.0,0.0
1,10,binary CE,0.9,0.1
1,10,binary CE - te/tr split,0.6,0.4
1,10,custom,1.0,0.0
1,10,custom - te/tr split,0.65,0.35
1,20,binary CE,0.55,0.45
1,20,binary CE - te/tr split,1.0,0.0
1,20,custom,0.9,0.1
1,20,custom - te/tr split,0.95,0.05
1,100,binary CE,0.25,0.75
1,100,binary CE - te/tr split,0.6,0.4
1,100,custom,0.35,0.65
1,100,custom - te/tr split,0.45,0.55
1,1000,binary CE,0.1,0.9
1,1000,binary CE - te/tr split,0.45,0.55
1,1000,custom,0.05,0.95
1,1000,custom - te/tr split,0.3,0.7
2,5,binary CE,0.947,0.053
2,5,binary CE - te/tr split,0.711,0.289
2,5,custom,0.847,0.153
2,5,custom - te/tr split,0.942,0.058
2,10,binary CE,0.832,0.168
2,10,binary CE - te/tr split,0.658,0.342
2,10,custom,0.989,0.011
2,10,custom - te/tr split,0.632,0.368
2,20,binary CE,0.511,0.489
2,20,binary CE - te/tr split,0.974,0.026
2,20,custom,0.742,0.258
2,20,custom - te/tr split,0.974,0.026
2,100,binary CE,0.395,0.605
2,100,binary CE - te/tr split,0.532,0.468
2,100,custom,0.432,0.568
2,100,custom - te/tr split,0.447,0.553
2,1000,binary CE,0.184,0.816
2,1000,binary CE - te/tr split,0.484,0.516
2,1000,custom,0.084,0.916
2,1000,custom - te/tr split,0.411,0.589
3,5,binary CE,0.923,0.077
3,5,binary CE - te/tr split,0.725,0.275
3,5,custom,0.849,0.151
3,5,custom - te/tr split,0.954,0.046
3,10,binary CE,0.819,0.181
3,10,binary CE - te/tr split,0.67,0.33
3,10,custom,0.992,0.008
3,10,custom - te/tr split,0.666,0.334
3,20,binary CE,0.521,0.479
3,20,binary CE - te/tr split,0.975,0.025
3,20,custom,0.761,0.239
3,20,custom - te/tr split,0.967,0.033
3,100,binary CE,0.464,0.536
3,100,binary CE - te/tr split,0.574,0.426
3,100,custom,0.505,0.495
3,100,custom - te/tr split,0.479,0.521
3,1000,binary CE,0.247,0.753
3,1000,binary CE - te/tr split,0.468,0.532
3,1000,custom,0.139,0.861
3,1000,custom - te/tr split,0.451,0.549
4,5,binary CE,0.926,0.074
4,5,binary CE - te/tr split,0.741,0.259
4,5,custom,0.879,0.121
4,5,custom - te/tr split,0.953,0.047
4,10,binary CE,0.81,0.19
4,10,binary CE - te/tr split,0.698,0.302
4,10,custom,0.994,0.006
4,10,custom - te/tr split,0.705,0.295
4,20,binary CE,0.563,0.437
4,20,binary CE - te/tr split,0.977,0.023
4,20,custom,0.765,0.235
4,20,custom - te/tr split,0.965,0.035
4,100,binary CE,0.485,0.515
4,100,binary CE - te/tr split,0.591,0.409
4,100,custom,0.547,0.453
4,100,custom - te/tr split,0.498,0.502
4,1000,binary CE,0.277,0.723
4,1000,binary CE - te/tr split,0.5,0.5
4,1000,custom,0.161,0.839
4,1000,custom - te/tr split,0.473,0.527
5,5,binary CE,0.935,0.065
5,5,binary CE - te/tr split,0.762,0.238
5,5,custom,0.901,0.099
5,5,custom - te/tr split,0.951,0.049
5,10,binary CE,0.819,0.181
5,10,binary CE - te/tr split,0.727,0.273
5,10,custom,0.997,0.003
5,10,custom - te/tr split,0.738,0.262
5,20,binary CE,0.593,0.407
5,20,binary CE - te/tr split,0.975,0.025
5,20,custom,0.774,0.226
5,20,custom - te/tr split,0.957,0.043
5,100,binary CE,0.486,0.514
5,100,binary CE - te/tr split,0.602,0.398
5,100,custom,0.575,0.425
5,100,custom - te/tr split,0.508,0.492
5,1000,binary CE,0.311,0.689
5,1000,binary CE - te/tr split,0.507,0.493
5,1000,custom,0.183,0.817
5,1000,custom - te/tr split,0.487,0.513
6,5,binary CE,0.947,0.053
6,5,binary CE - te/tr split,0.784,0.216
6,5,custom,0.922,0.078
6,5,custom - te/tr split,0.955,0.045
6,10,binary CE,0.826,0.174
6,10,binary CE - te/tr split,0.755,0.245
6,10,custom,0.998,0.002
6,10,custom - te/tr split,0.77,0.23
6,20,binary CE,0.622,0.378
6,20,binary CE - te/tr split,0.976,0.024
6,20,custom,0.785,0.215
6,20,custom - te/tr split,0.956,0.044
6,100,binary CE,0.489,0.511
6,100,binary CE - te/tr split,0.609,0.391
6,100,custom,0.574,0.426
6,100,custom - te/tr split,0.514,0.486
6,1000,binary CE,0.338,0.662
6,1000,binary CE - te/tr split,0.521,0.479
6,1000,custom,0.206,0.794
6,1000,custom - te/tr split,0.498,0.502
7,5,binary CE,0.958,0.042
7,5,binary CE - te/tr split,0.806,0.194
7,5,custom,0.942,0.058
7,5,custom - te/tr split,0.959,0.041
7,10,binary CE,0.835,0.165
7,10,binary CE - te/tr split,0.782,0.218
7,10,custom,0.999,0.001
7,10,custom - te/tr split,0.798,0.202
7,20,binary CE,0.647,0.353
7,20,binary CE - te/tr split,0.977,0.023
7,20,custom,0.795,0.205
7,20,custom - te/tr split,0.956,0.044
7,100,binary CE,0.497,0.503
7,100,binary CE - te/tr split,0.611,0.389
7,100,custom,0.571,0.429
7,100,custom - te/tr split,0.521,0.479
7,1000,binary CE,0.361,0.639
7,1000,binary CE - te/tr split,0.528,0.472
7,1000,custom,0.228,0.772
7,1000,custom - te/tr split,0.511,0.489
8,5,binary CE,0.967,0.033
8,5,binary CE - te/tr split,0.828,0.172
8,5,custom,0.959,0.041
8,5,custom - te/tr split,0.961,0.039
8,10,binary CE,0.846,0.154
8,10,binary CE - te/tr split,0.81,0.19
8,10,custom,0.999,0.001
8,10,custom - te/tr split,0.824,0.176
8,20,binary CE,0.672,0.328
8,20,binary CE - te/tr split,0.979,0.021
8,20,custom,0.806,0.194
8,20,custom - te/tr split,0.956,0.044
8,100,binary CE,0.514,0.486
8,100,binary CE - te/tr split,0.613,0.387
8,100,custom,0.573,0.427
8,100,custom - te/tr split,0.529,0.471
8,1000,binary CE,0.381,0.619
8,1000,binary CE - te/tr split,0.538,0.462
8,1000,custom,0.251,0.749
8,1000,custom - te/tr split,0.52,0.48
9,5,binary CE,0.976,0.024
9,5,binary CE - te/tr split,0.85,0.15
9,5,custom,0.973,0.027
9,5,custom - te/tr split,0.966,0.034
9,10,binary CE,0.857,0.143
9,10,binary CE - te/tr split,0.837,0.163
9,10,custom,1.0,0.0
9,10,custom - te/tr split,0.845,0.155
9,20,binary CE,0.696,0.304
9,20,binary CE - te/tr split,0.981,0.019
9,20,custom,0.816,0.184
9,20,custom - te/tr split,0.956,0.044
9,100,binary CE,0.529,0.471
9,100,binary CE - te/tr split,0.613,0.387
9,100,custom,0.581,0.419
9,100,custom - te/tr split,0.539,0.461
9,1000,binary CE,0.4,0.6
9,1000,binary CE - te/tr split,0.548,0.452
9,1000,custom,0.275,0.725
9,1000,custom - te/tr split,0.527,0.473
10,5,binary CE,0.983,0.017
10,5,binary CE - te/tr split,0.871,0.129
10,5,custom,0.984,0.016
10,5,custom - te/tr split,0.97,0.03
10,10,binary CE,0.868,0.132
10,10,binary CE - te/tr split,0.864,0.136
10,10,custom,1.0,0.0
10,10,custom - te/tr split,0.867,0.133
10,20,binary CE,0.72,0.28
10,20,binary CE - te/tr split,0.983,0.017
10,20,custom,0.825,0.175
10,20,custom - te/tr split,0.956,0.044
10,100,binary CE,0.538,0.462
10,100,binary CE - te/tr split,0.617,0.383
10,100,custom,0.589,0.411
10,100,custom - te/tr split,0.55,0.45
10,1000,binary CE,0.419,0.581
10,1000,binary CE - te/tr split,0.558,0.442
10,1000,custom,0.298,0.702
10,1000,custom - te/tr split,0.535,0.465
11,5,binary CE,0.99,0.01
11,5,binary CE - te/tr split,0.893,0.107
11,5,custom,0.992,0.008
11,5,custom - te/tr split,0.975,0.025
11,10,binary CE,0.881,0.119
11,10,binary CE - te/tr split,0.89,0.11
11,10,custom,1.0,0.0
11,10,custom - te/tr split,0.886,0.114
11,20,binary CE,0.743,0.257
11,20,binary CE - te/tr split,0.986,0.014
11,20,custom,0.836,0.164
11,20,custom - te/tr split,0.958,0.042
11,100,binary CE,0.543,0.457
11,100,binary CE - te/tr split,0.62,0.38
11,100,custom,0.594,0.406
11,100,custom - te/tr split,0.562,0.438
11,1000,binary CE,0.438,0.562
11,1000,binary CE - te/tr split,0.568,0.432
11,1000,custom,0.323,0.677
11,1000,custom - te/tr split,0.542,0.458
12,5,binary CE,0.995,0.005
12,5,binary CE - te/tr split,0.914,0.086
12,5,custom,0.997,0.003
12,5,custom - te/tr split,0.98,0.02
12,10,binary CE,0.895,0.105
12,10,binary CE - te/tr split,0.915,0.085
12,10,custom,1.0,0.0
12,10,custom - te/tr split,0.904,0.096
12,20,binary CE,0.766,0.234
12,20,binary CE - te/tr split,0.989,0.011
12,20,custom,0.848,0.152
12,20,custom - te/tr split,0.96,0.04
12,100,binary CE,0.55,0.45
12,100,binary CE - te/tr split,0.624,0.376
12,100,custom,0.599,0.401
12,100,custom - te/tr split,0.575,0.425
12,1000,binary CE,0.459,0.541
12,1000,binary CE - te/tr split,0.58,0.42
12,1000,custom,0.351,0.649
12,1000,custom - te/tr split,0.551,0.449
13,5,binary CE,0.998,0.002
13,5,binary CE - te/tr split,0.933,0.067
13,5,custom,1.0,0.0
13,5,custom - te/tr split,0.985,0.015
13,10,binary CE,0.909,0.091
13,10,binary CE - te/tr split,0.939,0.061
13,10,custom,1.0,0.0
13,10,custom - te/tr split,0.92,0.08
13,20,binary CE,0.79,0.21
13,20,binary CE - te/tr split,0.992,0.008
13,20,custom,0.861,0.139
13,20,custom - te/tr split,0.962,0.038
13,100,binary CE,0.566,0.434
13,100,binary CE - te/tr split,0.629,0.371
13,100,custom,0.612,0.388
13,100,custom - te/tr split,0.589,0.411
13,1000,binary CE,0.48,0.52
13,1000,binary CE - te/tr split,0.592,0.408
13,1000,custom,0.382,0.618
13,1000,custom - te/tr split,0.56,0.44
14,5,binary CE,1.0,0.0
14,5,binary CE - te/tr split,0.951,0.049
14,5,custom,1.0,0.0
14,5,custom - te/tr split,0.99,0.01
14,10,binary CE,0.924,0.076
14,10,binary CE - te/tr split,0.959,0.041
14,10,custom,1.0,0.0
14,10,custom - te/tr split,0.936,0.064
14,20,binary CE,0.815,0.185
14,20,binary CE - te/tr split,0.995,0.005
14,20,custom,0.876,0.124
14,20,custom - te/tr split,0.966,0.034
14,100,binary CE,0.581,0.419
14,100,binary CE - te/tr split,0.634,0.366
14,100,custom,0.631,0.369
14,100,custom - te/tr split,0.601,0.399
14,1000,binary CE,0.503,0.497
14,1000,binary CE - te/tr split,0.605,0.395
14,1000,custom,0.417,0.583
