,ala_exch,gly_exch,arg_exch,asn_exch,asp_exch,cys_exch,glu_exch,gln_exch,his_exch,ile_exch,leu_exch,lys_exch,met_exch,phe_exch,ser_exch,thr_exch,trp_exch,tyr_exch,val_exch,pro_exch,aerobic
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
6,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
8,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
10,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
12,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
14,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
16,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
17,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
18,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
19,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
20,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
21,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
22,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
23,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
24,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
25,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
26,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
27,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
28,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
29,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
31,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
32,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
33,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
34,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
35,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
36,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
37,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
38,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
39,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
40,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
42,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
44,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
45,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
46,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
47,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
48,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
49,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
50,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
51,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
52,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
53,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
54,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
55,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
56,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
57,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
58,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
59,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
60,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
61,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
62,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
63,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
64,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
