,kegg_0,kegg_1,kegg_2,kegg_3,kegg_4,basic,acidic,polar,charged,amphipathic,hydrophobic,special_sterics,aromatic,sulfurous
ala_exch,1,0,0,0,0,0,0,0,0,0,1,0,0,0
gly_exch,0,1,0,0,0,0,0,0,0,0,1,1,0,0
arg_exch,0,0,0,0,0,1,0,1,1,0,0,0,0,0
asn_exch,0,0,0,0,0,0,0,1,0,0,0,0,0,0
asp_exch,1,0,0,0,0,0,1,1,1,0,0,0,0,0
cys_exch,0,0,1,0,0,0,0,1,0,0,0,0,0,1
glu_exch,1,0,0,0,0,0,1,1,1,0,0,0,0,0
gln_exch,0,0,0,0,0,0,0,1,0,0,0,0,0,0
his_exch,0,0,0,0,0,1,0,1,0,0,0,0,1,0
ile_exch,0,0,0,1,0,0,0,0,0,0,1,0,0,0
leu_exch,0,0,0,1,0,0,0,0,0,0,1,0,0,0
lys_exch,0,0,0,0,0,1,0,1,1,0,0,0,0,0
met_exch,0,0,1,0,0,0,0,0,0,1,1,0,0,1
phe_exch,0,0,0,0,1,0,0,0,0,0,1,0,1,0
ser_exch,0,1,0,0,0,0,0,1,0,0,0,0,0,0
thr_exch,0,1,0,0,0,0,0,1,0,0,0,0,0,0
trp_exch,0,0,0,0,1,0,0,0,0,1,1,0,1,0
tyr_exch,0,0,0,0,1,0,0,1,0,1,1,0,1,0
val_exch,0,0,0,1,0,0,0,0,0,0,1,0,0,0
pro_exch,0,0,0,0,0,0,0,0,0,0,1,1,0,0
