reagent_name,reaction_name
dl_alanine_100x,ala_exch
glycine_100x,gly_exch
l_arginine_100x,arg_exch
l_asparagine_100x,asn_exch
l_aspartic_acid_45x,asp_exch
l_cysteine_100x,cys_exch
l_glutamic_acid_75x,glu_exch
l_glutamine_100x,gln_exch
l_histidine_100x,his_exch
l_isoleucine_100x,ile_exch
l_leucine_100x,leu_exch
l_lysine_100x,lys_exch
l_methionine_100x,met_exch
l_phenylalanine_100x,phe_exch
l_serine_100x,ser_exch
l_threonine_100x,thr_exch
l_tryptophan_100x,trp_exch
l_tyrosine_100x,tyr_exch
l_valine_100x,val_exch
prolines_100x,pro_exch
