ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,strain,fitness
0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,aerobic,S. gordonii CH1,0.0018911039319202557
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,aerobic,S. gordonii CH1,0.0012128869235628562
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,aerobic,S. gordonii CH1,0.0036386607706885648
0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,aerobic,S. gordonii CH1,0.0006365541203617755
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,aerobic,S. gordonii CH1,0.0023236675219054097
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,aerobic,S. gordonii CH1,0.0019006889997624154
0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,aerobic,S. gordonii CH1,0.000597966912497509
0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,aerobic,S. gordonii CH1,0.0012618296529968466
0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,aerobic,S. gordonii CH1,0.0011935548040580832
0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,aerobic,S. gordonii CH1,0.0018961839298411915
0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,aerobic,S. gordonii CH1,0.0018126888217522674
0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,aerobic,S. gordonii CH1,0.001273108240723551
0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,aerobic,S. gordonii CH1,0.0011618337609527007
0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,aerobic,S. gordonii CH1,0.0031678149996040256
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,aerobic,S. gordonii CH1,0.0023918676499900316
0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,aerobic,S. gordonii CH1,0.002523659305993689
0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,aerobic,S. gordonii CH1,0.0006320613099470609
0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,aerobic,S. gordonii CH1,0.0012084592145015075
0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,aerobic,S. gordonii CH1,0.00189110393192026
0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,aerobic,S. gordonii CH1,0.0012128869235628562
0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,aerobic,S. gordonii CH1,0.003819324722170648
0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,aerobic,S. gordonii CH1,0.001896183929841196
0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,aerobic,S. gordonii CH1,0.0011935548040580832
0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,aerobic,S. gordonii CH1,0.0018126888217522633
0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,aerobic,S. gordonii CH1,0.0012607359546135022
0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,aerobic,S. gordonii CH1,0.0006064434617814281
0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,aerobic,S. gordonii CH1,0.0006365541203617755
0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,aerobic,S. gordonii CH1,0.002904584402381762
0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,aerobic,S. gordonii CH1,0.0019006889997624154
0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,aerobic,S. gordonii CH1,0.000597966912497509
0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,aerobic,S. gordonii CH1,0.00189274447949527
0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,aerobic,S. gordonii CH1,0.0005967774020290437
