ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,adenine,biotin,d_glucose,folic_acid,guanine,irons,magnesium_sulfate,manganese_sulfate,nadp,niacinamide,paba,pantothenate,pyridoxal,pyridoxamine,riboflavin,sodium_acetate,thiamine,uracil,vitamin_b12,type,frontier_type,growth_pred,round,fitness_mean,fitness_std,fitness_median,ingredients_in_media_count
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,RANDOM,BEYOND,0.2472489932179451,1,-0.017011340893929288,N/A,-0.017011340893929288,31
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,RANDOM,FRONTIER,0.3087199229001999,1,-0.006432591798445455,N/A,-0.006432591798445455,32
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,RANDOM,BEYOND,0.2408896434307098,1,-0.006054184955350392,N/A,-0.006054184955350392,29
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,RANDOM,FRONTIER,0.3669622033834457,1,-0.006004002668445629,N/A,-0.006004002668445629,29
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,RANDOM,BEYOND,0.2004196336865425,1,-0.006004002668445629,N/A,-0.006004002668445629,24
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,RANDOM,FRONTIER,0.2569370865821838,1,-0.0053604931653712115,N/A,-0.0053604931653712115,28
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,RANDOM,BEYOND,0.2422629803419113,1,-0.004843347964280305,N/A,-0.004843347964280305,32
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,RANDOM,BEYOND,0.2487003201246261,1,-0.004288394532296976,N/A,-0.004288394532296976,35
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,RANDOM,FRONTIER,0.4015021336078643,1,-0.004288394532296968,N/A,-0.004288394532296968,25
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,RANDOM,FRONTIER,0.2596482934057713,1,-0.004288394532296968,N/A,-0.004288394532296968,29
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,RANDOM,BEYOND,0.2401924133300781,1,-0.004002668445630417,N/A,-0.004002668445630417,26
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,RANDOM,FRONTIER,0.2783112502098083,1,-0.004002668445630417,N/A,-0.004002668445630417,33
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,RANDOM,BEYOND,0.2306373147666454,1,-0.0032162958992227315,N/A,-0.0032162958992227315,25
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,RANDOM,BEYOND,0.2177067685127258,1,-0.003002001334222818,N/A,-0.003002001334222818,32
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,RANDOM,BEYOND,0.2118912327289581,1,-0.0024216739821401566,N/A,-0.0024216739821401566,28
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,RANDOM,BEYOND,0.2299011823534965,1,-0.002144197266148488,N/A,-0.002144197266148488,27
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,RANDOM,FRONTIER,0.3189185889065266,1,-0.002144197266148488,N/A,-0.002144197266148488,25
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,RANDOM,BEYOND,0.2470912232995033,1,-0.00214419726614848,N/A,-0.00214419726614848,33
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,RANDOM,FRONTIER,0.2570715108513832,1,-0.00214419726614848,N/A,-0.00214419726614848,32
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,RANDOM,BEYOND,0.2477514654397964,1,-0.002001334222815212,N/A,-0.002001334222815212,29
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,RANDOM,BEYOND,0.2492236977815628,1,-0.002001334222815212,N/A,-0.002001334222815212,29
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,RANDOM,BEYOND,0.2419054010510444,1,-0.002001334222815205,N/A,-0.002001334222815205,28
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,RANDOM,FRONTIER,0.324288135766983,1,-0.002001334222815205,N/A,-0.002001334222815205,28
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,RANDOM,FRONTIER,0.3936495506763458,1,-0.0012108369910700783,N/A,-0.0012108369910700783,28
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,RANDOM,BEYOND,0.2237750323116779,1,-0.0012108369910700783,N/A,-0.0012108369910700783,30
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,RANDOM,FRONTIER,0.3329226982593536,1,-0.0012108369910700783,N/A,-0.0012108369910700783,26
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,RANDOM,FRONTIER,0.283431656062603,1,-0.0012108369910700783,N/A,-0.0012108369910700783,30
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,RANDOM,BEYOND,0.2460870510339736,1,-0.0012108369910700783,N/A,-0.0012108369910700783,28
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,RANDOM,BEYOND,0.2380836594104766,1,-0.00121083699107007,N/A,-0.00121083699107007,33
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,RANDOM,BEYOND,0.2383825489878654,1,-0.00121083699107007,N/A,-0.00121083699107007,33
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,RANDOM,FRONTIER,0.3348270726203918,1,-0.001072098633074244,N/A,-0.001072098633074244,25
