ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,type,frontier_type,growth_pred,growth_pred_var,round,environment,strain,fitness,num_aa_removed
0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,RANDOM,BEYOND,0.1922823842614889,0.018465051955355,1,aerobic,S. gordonii CH1,0.0018023430459597,15
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,RANDOM,BEYOND,0.225848222374916,0.0164701680366448,1,aerobic,S. gordonii CH1,0.001786955226844,14
0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,RANDOM,FRONTIER,0.3036989895999432,0.0234742521752149,1,aerobic,S. gordonii CH1,0.0012479201331114,14
0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,RANDOM,BEYOND,0.2269525741040706,0.0153013461676563,1,aerobic,S. gordonii CH1,0.0012015620306398,14
1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,RANDOM,FRONTIER,0.2648986238241195,0.0155570891466587,1,aerobic,S. gordonii CH1,0.0024031240612796,13
1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,RANDOM,BEYOND,0.2117504605650901,0.0093562627251016,1,aerobic,S. gordonii CH1,0.0018023430459597,13
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,RANDOM,BEYOND,0.2491722761839628,0.0203180505363368,1,aerobic,S. gordonii CH1,0.0011913034845626,13
0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,RANDOM,FRONTIER,0.3131357192993164,0.0309818785133407,1,aerobic,S. gordonii CH1,0.0005956517422813,13
0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,RANDOM,BEYOND,0.2447148168459534,0.0119502339948973,1,aerobic,S. gordonii CH1,0.0024031240612796,12
0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,RANDOM,FRONTIER,0.2630404487252235,0.0239346947284341,1,aerobic,S. gordonii CH1,0.0018023430459597,12
0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,RANDOM,BEYOND,0.2151029306650161,0.0294653617088607,1,aerobic,S. gordonii CH1,0.001786955226844,12
0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,RANDOM,BEYOND,0.2108685873076319,0.028622031742825,1,aerobic,S. gordonii CH1,0.0012479201331114,12
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,RANDOM,BEYOND,0.2484218117594719,0.0193329367250356,1,aerobic,S. gordonii CH1,0.0012015620306398,12
1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,RANDOM,FRONTIER,0.3966223695874214,0.0219744483312383,1,aerobic,S. gordonii CH1,0.0011913034845626,12
1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,RANDOM,BEYOND,0.2307595890760422,0.0146586079844847,1,aerobic,S. gordonii CH1,0.0005956517422813,12
0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,RANDOM,BEYOND,0.2452121083438396,0.0153427417594263,1,aerobic,S. gordonii CH1,0.0049916805324459,11
1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,RANDOM,FRONTIER,0.2664851875603199,0.0249797833974774,1,aerobic,S. gordonii CH1,0.0018718801996672,11
0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,RANDOM,FRONTIER,0.3719241219758987,0.0380584807649659,1,aerobic,S. gordonii CH1,0.0018023430459597,11
0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,RANDOM,FRONTIER,0.3018984246253967,0.0199969436734787,1,aerobic,S. gordonii CH1,0.001786955226844,11
0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,RANDOM,FRONTIER,0.2989983995258808,0.0295018342724238,1,aerobic,S. gordonii CH1,0.0012479201331114,11
0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,RANDOM,FRONTIER,0.3221781450510025,0.0276778952162307,1,aerobic,S. gordonii CH1,0.0012479201331114,11
1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,RANDOM,BEYOND,0.2427156679332256,0.0222728995748618,1,aerobic,S. gordonii CH1,0.0012479201331114,11
1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,RANDOM,BEYOND,0.2393154096603393,0.0134118275912963,1,aerobic,S. gordonii CH1,0.0005956517422813,11
0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,RANDOM,BEYOND,0.2320178145170212,0.0144991146187228,1,aerobic,S. gordonii CH1,0.964854310603785,10
0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,RANDOM,BEYOND,0.187655918598175,0.0205586810339904,1,aerobic,S. gordonii CH1,0.0042054671072394,10
1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,RANDOM,FRONTIER,0.3474315789341926,0.0270333103236524,1,aerobic,S. gordonii CH1,0.0042054671072394,10
0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,RANDOM,BEYOND,0.239515046775341,0.0212863209571387,1,aerobic,S. gordonii CH1,0.003573910453688,10
0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,RANDOM,BEYOND,0.2494181203842163,0.0152032547173607,1,aerobic,S. gordonii CH1,0.0023826069691253,10
0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,RANDOM,BEYOND,0.2371865753829479,0.0255963653647893,1,aerobic,S. gordonii CH1,0.0018718801996672,10
0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,RANDOM,BEYOND,0.2412179850041866,0.0277971126138342,1,aerobic,S. gordonii CH1,0.0018023430459597,10
1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,RANDOM,FRONTIER,0.3001953794062137,0.0265389262196177,1,aerobic,S. gordonii CH1,0.0018023430459597,10
0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,RANDOM,BEYOND,0.2250261083245277,0.0243453034480103,1,aerobic,S. gordonii CH1,0.001786955226844,10
0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,RANDOM,BEYOND,0.2340706603229045,0.0152276632805603,1,aerobic,S. gordonii CH1,0.0012479201331114,10
1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,RANDOM,BEYOND,0.2243577459454536,0.0130637452821426,1,aerobic,S. gordonii CH1,0.0011913034845626,10
1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,RANDOM,FRONTIER,0.3210180401802063,0.015060624984294,1,aerobic,S. gordonii CH1,0.0006239600665557,10
1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,RANDOM,BEYOND,0.2455362965166568,0.0171099281250816,1,aerobic,S. gordonii CH1,0.0006007810153199,10
1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,RANDOM,FRONTIER,0.314149060100317,0.0260552117962256,1,aerobic,S. gordonii CH1,0.965890183028286,9
0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,RANDOM,BEYOND,0.2152013770490884,0.0211697475277128,1,aerobic,S. gordonii CH1,0.0048062481225593,9
1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,RANDOM,FRONTIER,0.2715988011658192,0.0164074373274798,1,aerobic,S. gordonii CH1,0.0041695621959694,9
1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,RANDOM,BEYOND,0.22456238001585,0.037041973625522,1,aerobic,S. gordonii CH1,0.0037437603993344,9
0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,RANDOM,FRONTIER,0.2815980663895607,0.0200764809602507,1,aerobic,S. gordonii CH1,0.0036046860919194,9
0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,RANDOM,FRONTIER,0.3143257868289947,0.0344762645593195,1,aerobic,S. gordonii CH1,0.0024958402662229,9
1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,RANDOM,BEYOND,0.227372594922781,0.0118216956236725,1,aerobic,S. gordonii CH1,0.0024031240612796,9
0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,RANDOM,FRONTIER,0.2595489121973514,0.0169171656683169,1,aerobic,S. gordonii CH1,0.0023826069691253,9
0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,RANDOM,FRONTIER,0.2630229800939559,0.0176921416031571,1,aerobic,S. gordonii CH1,0.0018718801996672,9
0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,RANDOM,BEYOND,0.2388381065428257,0.018044930783324,1,aerobic,S. gordonii CH1,0.0018023430459597,9
1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,RANDOM,BEYOND,0.2343525266647338,0.0108446636005849,1,aerobic,S. gordonii CH1,0.0018023430459597,9
1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,RANDOM,BEYOND,0.2107204475998878,0.0159415995458113,1,aerobic,S. gordonii CH1,0.0018023430459597,9
1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,RANDOM,BEYOND,0.2384075945615768,0.0140842788508187,1,aerobic,S. gordonii CH1,0.001786955226844,9
0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,RANDOM,FRONTIER,0.2689445434510707,0.0184296060834167,1,aerobic,S. gordonii CH1,0.0011913034845626,9
1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,RANDOM,FRONTIER,0.2961556547880172,0.022135309464142,1,aerobic,S. gordonii CH1,0.0011913034845626,9
1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,RANDOM,FRONTIER,0.2789140173792839,0.0161316824178053,1,aerobic,S. gordonii CH1,0.0006239600665557,9
0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,RANDOM,FRONTIER,0.3626521497964859,0.024149442810835,1,aerobic,S. gordonii CH1,0.0006007810153199,9
1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,RANDOM,BEYOND,0.245752429664135,0.0161704357967171,1,aerobic,S. gordonii CH1,0.0006007810153199,9
0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,RANDOM,BEYOND,0.2227731440961361,0.0178134771702225,1,aerobic,S. gordonii CH1,0.0060078101531991,8
1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,RANDOM,FRONTIER,0.3371744908392429,0.0291222938152674,1,aerobic,S. gordonii CH1,0.0041695621959694,8
1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,RANDOM,BEYOND,0.241953085064888,0.0149125551433466,1,aerobic,S. gordonii CH1,0.0041695621959694,8
1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,RANDOM,FRONTIER,0.34029884070158,0.0386640604316146,1,aerobic,S. gordonii CH1,0.0030039050765995,8
0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,RANDOM,FRONTIER,0.3540863153338432,0.0294455626317178,1,aerobic,S. gordonii CH1,0.0023826069691253,8
1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,RANDOM,FRONTIER,0.3162793397903442,0.0149405937871774,1,aerobic,S. gordonii CH1,0.0018023430459597,8
1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,RANDOM,BEYOND,0.2476107983291149,0.0253708297391587,1,aerobic,S. gordonii CH1,0.001786955226844,8
0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,RANDOM,BEYOND,0.2471245101094246,0.0149187626834661,1,aerobic,S. gordonii CH1,0.0012479201331114,8
0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,RANDOM,BEYOND,0.2404678204655647,0.0179584042690333,1,aerobic,S. gordonii CH1,0.0012479201331114,8
1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,RANDOM,FRONTIER,0.2986948719620704,0.0161989488764613,1,aerobic,S. gordonii CH1,0.0012479201331114,8
1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,RANDOM,FRONTIER,0.2591097405552864,0.0127796847034192,1,aerobic,S. gordonii CH1,0.0012479201331114,8
1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,RANDOM,BEYOND,0.2323975674808025,0.0126610516969588,1,aerobic,S. gordonii CH1,0.0012479201331114,8
1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,RANDOM,FRONTIER,0.3433715271949768,0.0166793122737885,1,aerobic,S. gordonii CH1,0.0012479201331114,8
1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,RANDOM,BEYOND,0.2355871373414993,0.0167368661183573,1,aerobic,S. gordonii CH1,0.0011913034845626,8
1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,RANDOM,BEYOND,0.2318557316064834,0.0114679019384003,1,aerobic,S. gordonii CH1,0.0011913034845626,8
1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,RANDOM,BEYOND,0.2484816199541092,0.0130892118335381,1,aerobic,S. gordonii CH1,0.0005956517422813,8
1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,RANDOM,FRONTIER,0.2642011134326458,0.0160909792939684,1,aerobic,S. gordonii CH1,0.0005956517422813,8
0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,RANDOM,BEYOND,0.249705159664154,0.0212136456594946,1,aerobic,S. gordonii CH1,0.9671381031613976,7
1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,RANDOM,BEYOND,0.2416579884290695,0.0210180984072379,1,aerobic,S. gordonii CH1,0.189683860232945,7
1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,RANDOM,BEYOND,0.216144260764122,0.0126221174020531,1,aerobic,S. gordonii CH1,0.0137271214642262,7
0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,RANDOM,BEYOND,0.2479864940047264,0.0115950337553473,1,aerobic,S. gordonii CH1,0.0093594009983361,7
0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,RANDOM,BEYOND,0.2445367753505706,0.011551031009362,1,aerobic,S. gordonii CH1,0.0089347761342201,7
1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,RANDOM,FRONTIER,0.3300099919736385,0.0218506880095742,1,aerobic,S. gordonii CH1,0.0053608656805321,7
1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,RANDOM,FRONTIER,0.2703112611174583,0.019669672483564,1,aerobic,S. gordonii CH1,0.0047652139382507,7
1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,RANDOM,FRONTIER,0.349161274433136,0.0271870749988638,1,aerobic,S. gordonii CH1,0.0043677204658901,7
0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,RANDOM,BEYOND,0.2138082320988178,0.0075962742989779,1,aerobic,S. gordonii CH1,0.003573910453688,7
0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,RANDOM,BEYOND,0.2209027886390686,0.0118309230549573,1,aerobic,S. gordonii CH1,0.0031198003327787,7
0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,RANDOM,BEYOND,0.2386963245272636,0.0083895460734746,1,aerobic,S. gordonii CH1,0.0024958402662229,7
1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,RANDOM,BEYOND,0.244125807583332,0.0111645140872555,1,aerobic,S. gordonii CH1,0.0024031240612796,7
1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,RANDOM,BEYOND,0.2211093634366989,0.009983549816176,1,aerobic,S. gordonii CH1,0.0024031240612796,7
1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,RANDOM,BEYOND,0.2245470932126045,0.0149310076242025,1,aerobic,S. gordonii CH1,0.0024031240612796,7
1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,RANDOM,FRONTIER,0.2673246851563454,0.0238610023462959,1,aerobic,S. gordonii CH1,0.0018718801996672,7
0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,RANDOM,BEYOND,0.1852823573350906,0.0085375181248931,1,aerobic,S. gordonii CH1,0.0018023430459597,7
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,RANDOM,BEYOND,0.2223602595925331,0.0121338987407358,1,aerobic,S. gordonii CH1,0.001786955226844,7
1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,RANDOM,FRONTIER,0.2977698019146919,0.0165187363348939,1,aerobic,S. gordonii CH1,0.001786955226844,7
1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,RANDOM,FRONTIER,0.2747868186235427,0.0122548751075484,1,aerobic,S. gordonii CH1,0.0012479201331114,7
1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,RANDOM,BEYOND,0.2135813000798225,0.0094136686946658,1,aerobic,S. gordonii CH1,0.0012479201331114,7
1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,RANDOM,BEYOND,0.2164672388136387,0.0193298136908628,1,aerobic,S. gordonii CH1,0.0012479201331114,7
0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,RANDOM,FRONTIER,0.2852951575815677,0.0147591550494383,1,aerobic,S. gordonii CH1,0.0012015620306398,7
1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,RANDOM,FRONTIER,0.2914729908108711,0.016963275880874,1,aerobic,S. gordonii CH1,0.0012015620306398,7
0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,RANDOM,FRONTIER,0.2846330550312996,0.0104241404965733,1,aerobic,S. gordonii CH1,0.0011913034845626,7
0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,RANDOM,BEYOND,0.2433879905939102,0.0099148653774988,1,aerobic,S. gordonii CH1,0.0011913034845626,7
0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,RANDOM,BEYOND,0.2181363412737846,0.0118964656965644,1,aerobic,S. gordonii CH1,0.958245719435266,6
0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,RANDOM,FRONTIER,0.256957391500473,0.0150637329955861,1,aerobic,S. gordonii CH1,0.9258035446079904,6
1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,RANDOM,FRONTIER,0.3337968476861715,0.0281137981298302,1,aerobic,S. gordonii CH1,0.2215058236272878,6
0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,RANDOM,BEYOND,0.2068173691630363,0.0142879500352977,1,aerobic,S. gordonii CH1,0.0524173533207584,6
0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,RANDOM,BEYOND,0.2054161605238914,0.0167955961570709,1,aerobic,S. gordonii CH1,0.0291869353717859,6
1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,RANDOM,FRONTIER,0.3444115856289864,0.0163807643068078,1,aerobic,S. gordonii CH1,0.0144187443676779,6
1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,RANDOM,FRONTIER,0.3033111137151718,0.01367011640929,1,aerobic,S. gordonii CH1,0.0106073211314475,6
0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,RANDOM,FRONTIER,0.2640329039096832,0.0145989057567135,1,aerobic,S. gordonii CH1,0.0090117152297987,6
1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,RANDOM,FRONTIER,0.319544420838356,0.0195440840024329,1,aerobic,S. gordonii CH1,0.0065521691650948,6
0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,RANDOM,BEYOND,0.2284829112887382,0.0134764216183393,1,aerobic,S. gordonii CH1,0.0060078101531991,6
0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,RANDOM,BEYOND,0.2368487714231014,0.0222997697982889,1,aerobic,S. gordonii CH1,0.0048062481225593,6
0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,RANDOM,BEYOND,0.2412703783810138,0.0159090634688949,1,aerobic,S. gordonii CH1,0.0043677204658901,6
1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,RANDOM,BEYOND,0.2244374150037765,0.0118815800859395,1,aerobic,S. gordonii CH1,0.0042054671072394,6
1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,RANDOM,FRONTIER,0.3345407044887543,0.0163411609234613,1,aerobic,S. gordonii CH1,0.0031198003327787,6
0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,RANDOM,BEYOND,0.2312726712971925,0.0065289981323746,1,aerobic,S. gordonii CH1,0.0030039050765995,6
1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,RANDOM,FRONTIER,0.253953905403614,0.0098611910954711,1,aerobic,S. gordonii CH1,0.0024958402662229,6
0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,RANDOM,BEYOND,0.2409460118412971,0.0177965218763641,1,aerobic,S. gordonii CH1,0.0024031240612796,6
1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,RANDOM,FRONTIER,0.3116438794136047,0.0111909604697575,1,aerobic,S. gordonii CH1,0.0024031240612796,6
0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,RANDOM,BEYOND,0.2088625624775886,0.0131925128610051,1,aerobic,S. gordonii CH1,0.0023826069691253,6
0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,RANDOM,BEYOND,0.2272948136925697,0.0139980771076431,1,aerobic,S. gordonii CH1,0.0023826069691253,6
1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,RANDOM,FRONTIER,0.2871918511390686,0.0176234806843551,1,aerobic,S. gordonii CH1,0.0023826069691253,6
0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,RANDOM,FRONTIER,0.3247444075345993,0.0189279530473194,1,aerobic,S. gordonii CH1,0.0018718801996672,6
0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,RANDOM,BEYOND,0.2339155185222625,0.0137137272804211,1,aerobic,S. gordonii CH1,0.0018718801996672,6
1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,RANDOM,BEYOND,0.2277503243088722,0.0120709224750975,1,aerobic,S. gordonii CH1,0.0018023430459597,6
1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,RANDOM,BEYOND,0.2470770770311355,0.0137392889888179,1,aerobic,S. gordonii CH1,0.0018023430459597,6
1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,RANDOM,BEYOND,0.2451912996172905,0.0127469507824589,1,aerobic,S. gordonii CH1,0.0018023430459597,6
1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,RANDOM,BEYOND,0.2359606832265854,0.0112748234168476,1,aerobic,S. gordonii CH1,0.0018023430459597,6
1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,RANDOM,BEYOND,0.2344649262726306,0.0107197811089312,1,aerobic,S. gordonii CH1,0.001786955226844,6
0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,RANDOM,BEYOND,0.2288658699393272,0.0138447826084013,1,aerobic,S. gordonii CH1,0.0012479201331114,6
1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,RANDOM,FRONTIER,0.2878937581181526,0.0151473235083027,1,aerobic,S. gordonii CH1,0.0012015620306398,6
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,RANDOM,FRONTIER,0.2652589496970177,0.0189312306261246,1,aerobic,S. gordonii CH1,0.0012015620306398,6
0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,RANDOM,FRONTIER,0.289436993598938,0.0111341686357802,1,aerobic,S. gordonii CH1,0.0011913034845626,6
1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,RANDOM,BEYOND,0.2337029129266739,0.0080423139892609,1,aerobic,S. gordonii CH1,0.0006239600665557,6
0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,RANDOM,FRONTIER,0.3290906596183777,0.0113914973956585,1,aerobic,S. gordonii CH1,0.0006239600665557,6
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,RANDOM,FRONTIER,0.3234209790825844,0.0160019996948308,1,aerobic,S. gordonii CH1,0.0,6
1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,RANDOM,BEYOND,0.239563700556755,0.0138265183574112,1,aerobic,S. gordonii CH1,1.075747046560111,5
1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,RANDOM,BEYOND,0.2091607701033354,0.0132582838065725,1,aerobic,S. gordonii CH1,1.0405527185340946,5
1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,RANDOM,BEYOND,0.2430786126106977,0.0178705852369408,1,aerobic,S. gordonii CH1,1.0339441273655756,5
0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,RANDOM,BEYOND,0.2136434717476368,0.0149854112276475,1,aerobic,S. gordonii CH1,1.012012310136007,5
1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,RANDOM,FRONTIER,0.3230532076954842,0.0201776987287296,1,aerobic,S. gordonii CH1,0.9661471259803432,5
0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,RANDOM,BEYOND,0.224667057543993,0.0100091724654487,1,aerobic,S. gordonii CH1,0.903494176372712,5
0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,RANDOM,BEYOND,0.2470994356274604,0.0145695959057778,1,aerobic,S. gordonii CH1,0.9030080412985206,5
0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,RANDOM,BEYOND,0.2250920616090297,0.0100399793514511,1,aerobic,S. gordonii CH1,0.471756179886826,5
0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,RANDOM,FRONTIER,0.2702611774206161,0.0092934833039457,1,aerobic,S. gordonii CH1,0.0673876871880199,5
0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,RANDOM,BEYOND,0.1932903602719307,0.0106452850134819,1,aerobic,S. gordonii CH1,0.0534695103634725,5
